config,fusion_on,kalman_on,xai_adaptive,scenario,seed,MOTA,MOTP_IoU,IDF1,IDSW,FP,FN
fu1_ka1_xa0,True,True,False,multi_threat,4,0.6910112359550562,0.7404898082454869,0.8414985590778098,0,69,96
fu1_ka1_xa1,True,True,True,multi_threat,4,0.6835205992509363,0.7417301592677767,0.8392007611798288,0,76,93
fu0_ka0_xa0,False,False,False,sensor_dropout,4,-0.07291666666666674,0.7328575710634815,0.30405405405405406,0,118,294
fu0_ka0_xa1,False,False,True,sensor_dropout,4,-0.14583333333333326,0.7226272415077075,0.3125,0,156,284
fu0_ka1_xa0,False,True,False,sensor_dropout,4,0.375,0.7726796511395018,0.5945945945945946,0,32,208
fu0_ka1_xa1,False,True,True,sensor_dropout,4,0.390625,0.7682946328939146,0.634375,0,53,181
fu1_ka0_xa0,True,False,False,sensor_dropout,4,-0.2578125,0.7193079183463693,0.30703012912482064,0,206,277
fu1_ka0_xa1,True,False,True,sensor_dropout,4,-0.29166666666666674,0.7134741519756455,0.30726256983240224,0,222,274
fu1_ka1_xa0,True,True,False,sensor_dropout,4,0.5130208333333333,0.7477638187915123,0.7317073170731707,0,58,129
fu1_ka1_xa1,True,True,True,sensor_dropout,4,0.5104166666666667,0.748364575805236,0.7374301675977654,0,68,120
fu0_ka0_xa0,False,False,False,low_snr,4,-0.05128205128205132,0.723373989031654,0.42790697674418604,0,104,142
fu0_ka0_xa1,False,False,True,low_snr,4,-0.0641025641025641,0.7252502240325018,0.43792325056433407,0,112,137
fu0_ka1_xa0,False,True,False,low_snr,4,0.5641025641025641,0.7900052482618214,0.7627906976744186,0,32,70
fu0_ka1_xa1,False,True,True,low_snr,4,0.5769230769230769,0.787494565016529,0.7765237020316027,0,37,62
fu1_ka0_xa0,True,False,False,low_snr,4,-0.05555555555555558,0.7258890425137432,0.45951859956236324,0,118,129
fu1_ka0_xa1,True,False,True,low_snr,4,-0.11538461538461542,0.7383924755328487,0.43628509719222464,0,128,133
fu1_ka1_xa0,True,True,False,low_snr,4,0.6282051282051282,0.7878505621379744,0.8096280087527352,0,38,49
fu1_ka1_xa1,True,True,True,low_snr,4,0.6196581196581197,0.7825949007537314,0.8077753779697624,0,42,47
